 Time ,Dc
0,1.038104
0.01,1.038104
0.02,1.038104
0.03,1.038104
0.04,1.038104
0.05,1.038104
0.055,1.038104
0.0625,1.038113
0.0725,0.680861
0.0825,0.53385
0.092,0.46574
0.1,0.427146
0.11,0.395071
0.12,0.374559
0.13,0.35976
0.14,0.348315
0.15,0.339053
0.16,0.331523
0.17,0.325404
0.18,0.320314
0.189346,0.316268
0.2,0.31231
0.207914,0.309687
0.215396,0.307365
0.222508,0.305285
0.233177,0.302371
0.24918,0.298401
0.273184,0.293179
0.309191,0.286599
0.359191,0.279228
0.409191,0.273281
0.459191,0.268342
0.5,0.264946
0.55,0.265179
0.6,0.265438
0.65,0.265725
0.7,0.26604
0.75,0.266384
0.8,0.266759
0.85,0.267165
0.9,0.267602
0.95,0.268072
1,0.268575
1.05,0.269112
1.1,0.26968
1.15,0.27028
1.2,0.270913
1.25,0.271578
1.3,0.272277
1.35,0.27301
1.4,0.273778
1.45,0.27458
1.5,0.275419
1.55,0.276293
1.6,0.2772
1.65,0.278142
1.7,0.279118
1.75,0.28013
1.8,0.281178
1.85,0.282264
1.9,0.283387
1.95,0.284549
2,0.285751
2.05,0.286994
2.1,0.288276
2.15,0.289599
2.2,0.290966
2.25,0.292377
2.3,0.293836
2.35,0.295344
2.4,0.296906
2.45,0.298525
2.5,0.300205
2.55,0.301956
2.6,0.303788
2.65,0.30571
2.7,0.307733
2.75,0.309869
2.8,0.312135
2.85,0.314551
2.9,0.31714
2.95,0.319914
3,0.322886
3.05,0.325866
3.1,0.328577
3.15,0.330914
3.2,0.331802
3.25,0.331626
3.3,0.331545
3.35,0.331532
3.4,0.331563
3.45,0.331625
3.5,0.331704
3.55,0.3318
3.6,0.331914
3.65,0.331086
3.7,0.330125
3.75,0.329094
3.8,0.328001
3.85,0.326856
3.9,0.325666
3.95,0.324485
4,0.32336
4.05,0.322285
4.1,0.321257
4.15,0.320272
4.2,0.319326
4.25,0.318416
4.3,0.31754
4.35,0.316696
4.4,0.31588
4.45,0.315092
4.5,0.31433
4.55,0.313592
4.6,0.312876
4.65,0.312182
4.7,0.311508
4.75,0.310852
4.8,0.310215
4.85,0.309595
4.9,0.308991
4.95,0.308402
5,0.307828
5.05,0.307268
5.1,0.306722
5.15,0.306188
5.2,0.305666
5.25,0.305156
5.3,0.304657
5.35,0.304169
5.4,0.303691
5.45,0.303222
5.5,0.302764
5.55,0.302314
5.6,0.301874
5.65,0.301442
5.7,0.301018
5.75,0.300602
5.8,0.300193
5.85,0.299792
5.9,0.299398
5.95,0.299011
6,0.298631
6.05,0.298257
6.1,0.29789
6.15,0.297528
6.2,0.297173
6.25,0.296823
6.3,0.296479
6.35,0.29614
6.4,0.295807
6.45,0.295478
6.5,0.295155
6.55,0.294836
6.6,0.294522
6.65,0.294213
6.7,0.293908
6.75,0.293608
6.8,0.293312
6.85,0.29302
6.9,0.292732
6.95,0.292448
7,0.292167
7.05,0.291891
7.1,0.291618
7.15,0.291349
7.2,0.291083
7.25,0.290821
7.3,0.290562
7.35,0.290307
7.4,0.290054
7.45,0.289805
7.5,0.289559
7.55,0.289316
7.6,0.289076
