Altitude ,density 
0,1.225
0,1.225
6.07E-05,1.225
6.91E-04,1.225
0.003,1.225
0.007,1.225
0.014,1.225
0.024,1.225
0.04,1.225
0.06,1.225
0.086,1.225
0.119,1.225
0.143,1.225
0.183,1.225
0.236,1.225
0.297,1.225
0.365,1.225
0.442,1.225
0.527,1.225
0.619,1.225
0.72,1.225
0.828,1.225
0.945,1.225
1.069,1.225
1.202,1.225
1.342,1.225
1.49,1.225
1.646,1.225
1.81,1.225
1.982,1.225
2.162,1.225
2.349,1.225
2.545,1.225
2.748,1.225
2.959,1.225
3.178,1.225
3.268,1.225
3.405,1.225
3.616,1.225
3.858,1.225
4.107,1.225
4.365,1.225
4.63,1.224
5.042,1.224
5.695,1.224
6.748,1.224
8.473,1.224
10.397,1.224
10.672,1.224
11.091,1.224
11.735,1.224
12.736,1.224
14.315,1.223
16.794,1.223
19.474,1.223
22.46,1.222
25.551,1.222
28.843,1.222
32.336,1.221
36.03,1.221
38.577,1.221
42.56,1.22
46.782,1.22
51.201,1.219
55.817,1.219
59.02,1.218
63.963,1.218
69.103,1.217
74.438,1.216
79.969,1.216
83.842,1.215
89.701,1.215
95.755,1.214
102.005,1.213
108.45,1.213
112.811,1.212
119.512,1.211
126.475,1.211
133.634,1.21
140.989,1.209
146.027,1.208
153.709,1.207
161.587,1.206
169.66,1.206
177.929,1.205
183.663,1.204
192.259,1.203
201.048,1.202
210.03,1.201
219.201,1.2
225.357,1.199
234.744,1.198
244.411,1.197
254.259,1.196
264.288,1.195
271.106,1.194
281.429,1.193
291.926,1.191
302.593,1.19
313.428,1.189
320.89,1.188
332.002,1.187
343.274,1.186
354.706,1.184
366.294,1.183
374.027,1.182
385.751,1.181
397.743,1.179
409.883,1.178
422.168,1.176
430.479,1.175
443,1.174
455.661,1.172
468.457,1.171
481.386,1.169
490.252,1.168
503.399,1.167
516.673,1.165
530.071,1.164
543.59,1.162
552.579,1.161
566.158,1.16
579.983,1.158
593.91,1.157
607.93,1.155
617.37,1.154
631.526,1.153
645.748,1.151
660.024,1.15
674.344,1.148
684.099,1.147
698.465,1.145
712.847,1.144
727.24,1.142
741.638,1.141
751.14,1.139
765.388,1.138
779.772,1.136
794.146,1.135
808.506,1.133
818.118,1.132
832.45,1.13
846.762,1.129
861.051,1.127
875.314,1.126
884.997,1.125
899.211,1.123
913.393,1.121
927.542,1.12
941.654,1.118
950.947,1.117
964.855,1.116
978.863,1.114
992.829,1.112
1006.753,1.111
1016.058,1.11
1029.908,1.108
1043.714,1.107
1057.477,1.106
1071.194,1.104
1080.497,1.103
1094.141,1.102
1107.737,1.1
1121.282,1.099
1134.772,1.097
,
,
1143.645,1.096
1156.906,1.095
