 Time ,Mass ,LongitudinalMOI,RotationalMOI,CPLocation ,CGLocation,Mach number
0,17.758006,7.555084,0.041359,NaN,1.252514,0.005057
0.01,17.757749,7.554953,0.041358,NaN,1.252504,0.005069
0.02,17.757491,7.554821,0.041358,NaN,1.252494,0.005081
0.03,17.757234,7.55469,0.041358,NaN,1.252484,0.005093
0.04,17.756977,7.554558,0.041358,NaN,1.252475,0.005105
0.05,17.756719,7.554427,0.041358,NaN,1.252465,0.005117
0.055,17.756591,7.554361,0.041358,NaN,1.25246,0.005066
0.0625,17.753503,7.552783,0.041355,NaN,1.252342,0.004991
0.0725,17.749387,7.550678,0.041352,NaN,1.252184,0.004947
0.0825,17.74527,7.548572,0.04135,NaN,1.252026,0.005206
0.092,17.741359,7.54657,0.041347,NaN,1.251876,0.006068
0.1,17.734155,7.542881,0.041342,NaN,1.251599,0.007517
0.11,17.723349,7.537342,0.041334,NaN,1.251184,0.01012
0.12,17.712543,7.531797,0.041327,NaN,1.250768,0.012988
0.13,17.701737,7.526246,0.041319,NaN,1.250351,0.01602
0.14,17.690931,7.520689,0.041311,NaN,1.249934,0.019172
0.15,17.680125,7.515126,0.041304,NaN,1.249517,0.022423
0.16,17.669834,7.509822,0.041297,NaN,1.249119,0.025668
0.17,17.659542,7.504512,0.041289,NaN,1.24872,0.028797
0.18,17.649251,7.499197,0.041282,NaN,1.248322,0.031805
0.189346,17.639632,7.494224,0.041275,NaN,1.247948,0.034503
0.2,17.628668,7.488549,0.041268,NaN,1.247522,0.037445
0.207915,17.621032,7.484593,0.041262,NaN,1.247225,0.03958
0.215396,17.613813,7.480851,0.041257,NaN,1.246944,0.041605
0.222509,17.606951,7.47729,0.041252,1.422105,1.246677,0.043537
0.233178,17.596657,7.471945,0.041245,1.424498,1.246275,0.046444
0.249181,17.581217,7.463917,0.041234,1.427709,1.245672,0.05083
0.273186,17.558056,7.45185,0.041218,1.432664,1.244766,0.05745
0.309194,17.523315,7.433695,0.041194,1.438361,1.243402,0.067504
0.359194,17.475074,7.408377,0.04116,1.443278,1.241498,0.081704
0.409194,17.426833,7.382931,0.041126,1.448387,1.239584,0.096145
0.459194,17.378591,7.357357,0.041092,1.4529,1.23766,0.110839
0.5,17.33922,7.336389,0.041064,1.45482,1.236081,0.123034
0.55,17.287969,7.308965,0.041028,1.458116,1.234015,0.138122
0.6,17.236717,7.281391,0.040992,1.462888,1.231937,0.153307
0.65,17.185466,7.253668,0.040956,1.467443,1.229847,0.168606
0.7,17.134214,7.225794,0.04092,1.47016,1.227744,0.184033
0.75,17.082963,7.197768,0.040884,1.474638,1.225628,0.199553
0.8,17.031711,7.169588,0.040848,1.478581,1.2235,0.215185
0.85,16.98046,7.141252,0.040812,1.481485,1.221359,0.230931
0.9,16.929208,7.11276,0.040776,1.478869,1.219205,0.246776
0.95,16.877957,7.084109,0.04074,1.477081,1.217037,0.262727
1,16.826705,7.0553,0.040704,1.475948,1.214857,0.278782
1.05,16.77481,7.025964,0.040667,1.475579,1.212636,0.29489
1.1,16.722916,6.996462,0.040631,1.475541,1.210401,0.310989
1.15,16.671021,6.966792,0.040594,1.476561,1.208151,0.327091
1.2,16.619126,6.936952,0.040558,1.478427,1.205888,0.34319
1.25,16.567231,6.906941,0.040521,1.480765,1.203611,0.359282
1.3,16.515337,6.876757,0.040485,1.483332,1.20132,0.37536
1.35,16.463442,6.846399,0.040448,1.486844,1.199014,0.391444
1.4,16.411547,6.815864,0.040412,1.485921,1.196693,0.407499
1.45,16.359652,6.785151,0.040375,1.48528,1.194358,0.423538
1.5,16.307758,6.754259,0.040339,1.485047,1.192007,0.439568
1.55,16.257587,6.724221,0.040304,1.485165,1.189721,0.455565
1.6,16.207416,6.694011,0.040268,1.487168,1.18742,0.471459
1.65,16.157245,6.663629,0.040233,1.489795,1.185106,0.487275
1.7,16.107074,6.633073,0.040198,1.492127,1.182776,0.502998
1.75,16.056903,6.602341,0.040162,1.490768,1.180433,0.518628
1.8,16.006732,6.571431,0.040127,1.49093,1.178074,0.534182
1.85,15.956561,6.540342,0.040092,1.492654,1.175701,0.549655
1.9,15.90639,6.509072,0.040057,1.494819,1.173312,0.565015
1.95,15.856219,6.47762,0.040021,1.497978,1.170909,0.580303
2,15.806049,6.445983,0.039986,1.497349,1.16849,0.595491
2.05,15.758965,6.416124,0.039953,1.497798,1.166206,0.61056
2.1,15.711882,6.3861,0.03992,1.500247,1.163909,0.625466
2.15,15.664798,6.355908,0.039887,1.502905,1.161598,0.640257
2.2,15.617715,6.325549,0.039854,1.504622,1.159272,0.654888
2.25,15.570631,6.295019,0.039821,1.504748,1.156933,0.669361
2.3,15.523548,6.264318,0.039787,1.506327,1.154579,0.683684
2.35,15.476464,6.233444,0.039754,1.509434,1.152212,0.697858
2.4,15.429381,6.202395,0.039721,1.511653,1.149829,0.711854
2.45,15.382297,6.17117,0.039688,1.512065,1.147432,0.725705
2.5,15.335214,6.139767,0.039655,1.513617,1.145021,0.739405
2.55,15.290703,6.109916,0.039624,1.516747,1.142727,0.752964
2.6,15.246193,6.079902,0.039592,1.518085,1.14042,0.766415
2.65,15.201682,6.049725,0.039561,1.519468,1.1381,0.77977
2.7,15.157171,6.019384,0.03953,1.522062,1.135766,0.793008
2.75,15.112661,5.988876,0.039499,1.524531,1.133418,0.806119
2.8,15.06815,5.958201,0.039467,1.525331,1.131057,0.819131
2.85,15.02364,5.927357,0.039436,1.527787,1.128681,0.832009
2.9,14.979129,5.896342,0.039405,1.530327,1.126291,0.844774
2.95,14.936033,5.866149,0.039374,1.531426,1.123964,0.857319
3,14.892938,5.835794,0.039344,1.533549,1.121623,0.869546
3.05,14.864894,5.815952,0.039324,1.535749,1.120092,0.880673
3.1,14.836849,5.79604,0.039305,1.536447,1.118556,0.889887
3.15,14.808805,5.776058,0.039285,1.538558,1.117014,0.897177
3.2,14.780761,5.756006,0.039265,1.539339,1.115466,0.90259
3.25,14.752717,5.735882,0.039245,1.539403,1.113912,0.906101
3.3,14.724672,5.715686,0.039226,1.540376,1.112352,0.907736
3.35,14.713352,5.707514,0.039218,1.54025,1.111721,0.907973
3.4,14.702031,5.699329,0.03921,1.539713,1.111089,0.907335
3.45,14.697529,5.696071,0.039207,1.540198,1.110837,0.906082
3.5,14.693026,5.692811,0.039203,1.539292,1.110585,0.90448
3.55,14.688524,5.689549,0.0392,1.539377,1.110333,0.902563
3.6,14.684021,5.686285,0.039197,1.539171,1.110081,0.9003
3.65,14.679518,5.683019,0.039194,1.538446,1.109828,0.897707
3.7,14.675016,5.679751,0.039191,1.53849,1.109576,0.894783
3.75,14.670513,5.676481,0.039188,1.537656,1.109323,0.891552
3.8,14.666011,5.67321,0.039184,1.537273,1.10907,0.88801
3.85,14.661508,5.669936,0.039181,1.536487,1.108817,0.884162
3.9,14.657006,5.666661,0.039178,1.535829,1.108564,0.879997
3.95,14.657006,5.666661,0.039178,1.535242,1.108564,0.875689
4,14.657006,5.666661,0.039178,1.534567,1.108564,0.871439
4.05,14.657006,5.666661,0.039178,1.53399,1.108564,0.867236
4.1,14.657006,5.666661,0.039178,1.533092,1.108564,0.863036
4.15,14.657006,5.666661,0.039178,1.532672,1.108564,0.858892
4.2,14.657006,5.666661,0.039178,1.531778,1.108564,0.854797
4.25,14.657006,5.666661,0.039178,1.531123,1.108564,0.850738
4.3,14.657006,5.666661,0.039178,1.530709,1.108564,0.846726
4.35,14.657006,5.666661,0.039178,1.529865,1.108564,0.842737
4.4,14.657006,5.666661,0.039178,1.529016,1.108564,0.838774
4.45,14.657006,5.666661,0.039178,1.528943,1.108564,0.83485
4.5,14.657006,5.666661,0.039178,1.528238,1.108564,0.830946
4.55,14.657006,5.666661,0.039178,1.52729,1.108564,0.82709
4.6,14.657006,5.666661,0.039178,1.526991,1.108564,0.823267
4.65,14.657006,5.666661,0.039178,1.526594,1.108564,0.819478
4.7,14.657006,5.666661,0.039178,1.525666,1.108564,0.815716
4.75,14.657006,5.666661,0.039178,1.52515,1.108564,0.811974
4.8,14.657006,5.666661,0.039178,1.524843,1.108564,0.808279
4.85,14.657006,5.666661,0.039178,1.523975,1.108564,0.804604
4.9,14.657006,5.666661,0.039178,1.523649,1.108564,0.800961
4.95,14.657006,5.666661,0.039178,1.523291,1.108564,0.79737
5,14.657006,5.666661,0.039178,1.522124,1.108564,0.793759
5.05,14.657006,5.666661,0.039178,1.521795,1.108564,0.7902
5.1,14.657006,5.666661,0.039178,1.521813,1.108564,0.78665
5.15,14.657006,5.666661,0.039178,1.521089,1.108564,0.783125
